fid,id_tramo,codigo,tipo_tramd,ancho_viad,electrifid,n_vias,situaciond,red_tentd,titulard,fuented,nombre,tipo_lined,fuente_ld,estado,rio_id,dist_to_river
102,-2147483648,33000295,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,25084,1627.87
105,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22899,421.49
108,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17434,950.77
110,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22900,210.58
114,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17377,56.49
120,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22896,1680.96
122,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17281,22.19
123,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22900,2845.17
124,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17434,873.75
125,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17377,30.2
129,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17434,1020.56
136,-2147483648,33000285,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22996,1318.9
138,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17377,136.32
141,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22900,1.09
142,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22900,1934.37
144,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,16882,89.54
145,-2147483648,33000285,Troncal,Ibérico,Sí,Doble,Elevado,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22996,399.93
148,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,16882,20.24
150,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17763,29.75
161,-2147483648,33000285,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22996,419.39
162,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22893,1290.61
164,-2147483648,33000285,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22996,1030.13
173,-2147483648,33000246,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17493,843.11
175,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,Elevado,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22900,2043.76
179,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22899,662.29
180,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17493,1280.68
181,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Subterráneo,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17446,590.03
182,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22899,31.41
184,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17377,0.0
185,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22899,818.15
186,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,Subterráneo,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22900,667.25
187,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22893,1954.87
188,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17377,1093.53
190,-2147483648,33000285,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22996,124.72
193,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17377,1097.04
195,-2147483648,33000285,Troncal,Ibérico,Sí,Doble,Elevado,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22996,314.39
196,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,Elevado,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22899,1085.63
197,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22899,1099.08
198,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22899,512.15
200,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17434,94.71
202,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17377,1154.61
204,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17377,1150.2
207,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17377,784.04
208,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17377,796.22
214,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22900,2086.16
216,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22893,482.9
223,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17434,1045.84
225,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17446,161.09
233,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17434,66.51
236,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17493,1375.72
238,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22893,1253.97
240,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22893,1240.51
241,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22893,491.61
242,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22893,1293.35
243,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22893,502.28
251,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,Elevado,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22900,262.54
252,-2147483648,33000295,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,25084,1662.57
258,-2147483648,33000285,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22996,116.71
260,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17281,0.0
262,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22893,0.0
268,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17381,0.0
269,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17434,0.0
271,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17377,0.0
272,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22900,2922.23
273,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22882,44.85
274,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17446,0.0
275,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22900,929.55
276,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22882,66.4
278,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17493,1368.03
279,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,Elevado,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22899,0.0
281,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22900,694.96
282,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,Elevado,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22900,0.0
283,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17377,33.27
285,-2147483648,33000295,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,25084,1258.38
286,-2147483648,33000285,Troncal,Ibérico,Sí,Doble,Subterráneo,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22996,956.56
287,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,Elevado,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22899,651.25
288,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22899,96.55
292,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22899,23.79
293,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,Elevado,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22900,201.14
294,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17381,39.37
295,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,16840,21.21
297,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,Elevado,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22899,1050.88
300,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,16882,124.66
301,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,Subterráneo,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22900,924.14
303,-2147483648,33000295,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,25084,1630.81
304,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22899,1170.75
305,-2147483648,33000285,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22996,1261.91
306,-2147483648,33000285,Troncal,Ibérico,Sí,Doble,Elevado,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22996,0.0
309,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22900,24.99
310,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17434,1088.08
311,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,16882,0.0
314,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22900,3686.31
315,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17377,17.3
316,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,16882,98.73
319,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22900,285.93
323,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17281,19.33
324,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,Elevado,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22900,1303.23
330,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17434,1276.0
334,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17434,977.61
336,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,Subterráneo,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22900,716.46
337,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22900,1864.31
338,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22882,0.0
339,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22900,762.61
341,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17434,1170.99
342,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17763,0.0
